Position,Track Name,Artist,Streams
118,Tennessee Whiskey,Chris Stapleton,358969
119,I Wonder,Kanye West,358768
120,august,Taylor Swift,358753
121,Shut up My Moms Calling,Hotel Ugly,355996
122,Trance (with Travis Scott & Young Thug),Metro Boomin & Travis Scott & Young Thug,354212
123,You Should Probably Leave,Chris Stapleton,352446
124,One Dance,Drake & Wizkid & Kyla,351489
125,Used To Be Young,Miley Cyrus,350390
126,Father Stretch My Hands Pt. 1,Kanye West,349419
127,Confetti,Charlotte Cardin,349296
128,SAY MY GRACE (feat. Travis Scott),Offset & Travis Scott,348093
129,Shake It Off (Taylor's Version),Taylor Swift,347154
130,Dark Red,Steve Lacy,345836
131,Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin & Future & Chris Brown,345740
132,Lovers Rock,TV Girl,342604
133,Style,Taylor Swift,340764
134,Ric Flair Drip (with Metro Boomin),Offset & Metro Boomin,339753
135,Buy Dirt,Jordan Davis & Luke Bryan,337949
136,Take Me to Church,Hozier,337722
137,I Wish You Would (Taylor's Version),Taylor Swift,337712
138,Without Me,Eminem,337446
139,Blank Space,Taylor Swift,335409
140,Apocalypse,Cigarettes After Sex,335011
141,BLEED,The Kid LAROI,334461
142,Si No Estás,iñigo quintero,333908
143,When It Rains It Pours,Luke Combs,333881
144,Lose Yourself,Eminem,333518
145,Moonlight,Kali Uchis,333374
146,Glock In My Lap,21 Savage & Metro Boomin,332093
147,Yellow,Coldplay,331861
148,Rich Flex,Drake & 21 Savage,331226
149,Fortunate Son,Creedence Clearwater Revival,331136
150,ecstacy (slowed),SUICIDAL-IDOL,330899
151,Mr. Brightside,The Killers,328726
152,Cowgirls (feat. ERNEST),Morgan Wallen & ERNEST,327756
153,Chemical,Post Malone,327181
154,Hass Hass,Diljit Dosanjh & Sia & Greg Kurstin,327003
155,Ophelia,The Lumineers,326764
156,This Love (Taylor’s Version),Taylor Swift,325561
157,Nonsense,Sabrina Carpenter,324378
158,Take on Me,a-ha,324372
159,Party In The U.S.A.,Miley Cyrus,319865
160,Wonderland (Taylor's Version),Taylor Swift,319863
161,Counting Stars,OneRepublic,316501
162,Tourniquet,Zach Bryan,316442
163,family ties (with Kendrick Lamar),Baby Keem & Kendrick Lamar,314663
164,I Know Places (Taylor's Version),Taylor Swift,314593
165,Blinding Lights,The Weeknd,314424
166,Ghost,Justin Bieber,314266
167,Spotless (feat. The Lumineers),Zach Bryan & The Lumineers,312869
168,You Are In Love (Taylor's Version),Taylor Swift,312317
169,Don't Stop Believin' (2022 Remaster),Journey,312309
170,Yes or No,Jung Kook,311390
171,Fair Trade (with Travis Scott),Drake & Travis Scott,310054
172,Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,310043
173,Viva La Vida,Coldplay,309722
174,Freestyle,Lil Baby,309466
175,we fell in love in october,girl in red,308369
176,Love Me,Lil Wayne & Drake & Future,305540
177,Santa Tell Me,Ariana Grande,305433
178,Gently (feat. Bad Bunny),Drake & Bad Bunny,304122
179,Sun to Me,Zach Bryan,303889
180,get him back!,Olivia Rodrigo,302967
181,Everlong,Foo Fighters,302799
182,How You Get The Girl (Taylor's Version),Taylor Swift,302710
183,Bad Blood (Taylor's Version),Taylor Swift,300676
